Label/Time,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,Average,Fixation Density
Group1,1.112,9.211,12.819,12.119,10.570,9.169,7.332,5.553,4.663,3.633,3.114,2.595,2.307,2.060,1.878,1.689,1.417,1.079,0.667,1.425,4.7205,
Graphical Element,0.29,1.92,1.72,1.76,2.29,1.68,1.31,1.76,1.43,1.19,1.27,1.19,1.23,1.92,1.92,1.92,1.68,1.43,0.78,2.58,1.5635,0.158
Title,1.32,11.05,15.61,14.73,12.65,11.06,8.85,6.51,5.48,4.25,3.58,2.95,2.58,2.09,1.87,1.63,1.35,0.99,0.64,1.13,5.516,0.557
Group2,1.184,6.517,6.372,6.258,7.075,7.773,9.144,9.894,10.520,10.633,10.494,10.457,10.354,10.220,9.759,9.056,7.561,6.992,5.379,24.158,8.9899,
Header Row,0.98,5.12,5.83,6.18,6.61,7.09,8.34,7.40,7.95,8.27,7.52,6.18,6.65,6.57,5.55,4.80,4.13,4.49,4.01,17.40,6.5535,0.661
Paragraph,0.34,2.23,2.74,2.69,2.54,2.49,2.54,2.72,2.57,2.33,2.12,1.99,1.90,1.70,1.53,1.28,0.86,0.86,0.66,1.41,1.874,0.189
Data,2.01,10.96,10.01,9.68,11.44,13.02,15.60,17.37,18.86,19.29,19.41,19.74,19.45,19.53,18.88,17.87,15.06,13.60,10.31,48.08,16.5085,0.167
Object,11.80,35.41,19.67,21.64,43.28,29.51,51.15,59.02,45.25,41.31,39.35,59.02,59.02,31.48,43.28,21.64,23.61,31.48,21.64,86.56,38.755,0.391
Group3,0.301,1.970,2.234,3.036,3.671,4.387,4.807,5.588,6.013,6.266,6.223,6.568,5.809,6.110,5.653,5.093,4.323,3.311,2.342,5.755,4.473,
Annotation,0.68,4.77,6.81,7.49,11.58,12.26,9.54,9.54,8.17,16.35,11.58,12.26,12.26,10.22,11.58,9.54,6.81,6.81,6.13,23.84,9.911,1
Axis,0.17,0.90,1.02,1.51,1.77,2.38,2.35,3.25,3.15,3.37,3.38,3.72,3.00,3.12,2.71,2.63,2.27,1.72,1.09,2.22,2.2865,0.231
Label,0.47,3.41,3.68,4.65,5.80,6.48,7.80,7.98,8.83,9.74,8.71,9.24,8.42,9.15,8.42,7.59,6.59,4.97,3.89,11.01,6.8415,0.690
Legend,0.22,1.93,2.25,3.23,3.88,4.56,5.30,5.24,6.14,6.22,6.65,6.33,5.84,6.30,6.35,5.16,3.53,2.85,1.79,4.40,4.4085,0.445
Source,0.17,1.10,1.32,1.56,1.87,1.82,2.15,2.54,3.30,2.61,2.99,3.21,3.38,3.35,3.21,2.78,2.90,2.18,1.82,4.48,2.437,0.246
