Label/Time,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,Average,Fixation Density
Group1,0.798,6.381,8.731,8.295,7.311,6.459,5.387,4.402,3.815,3.105,2.713,2.350,2.140,1.915,1.738,1.523,1.190,0.989,0.666,2.389,3.6148,
Graphical Element,0.29,1.92,1.72,1.76,2.29,1.68,1.31,1.76,1.43,1.19,1.27,1.19,1.23,1.92,1.92,1.92,1.68,1.43,0.78,2.58,1.5635,0.158
Title,1.32,11.05,15.61,14.73,12.65,11.06,8.85,6.51,5.48,4.25,3.58,2.95,2.58,2.09,1.87,1.63,1.35,0.99,0.64,1.13,5.516,0.557
Paragraph,0.34,2.23,2.74,2.69,2.54,2.49,2.54,2.72,2.57,2.33,2.12,1.99,1.90,1.70,1.53,1.28,0.86,0.86,0.66,1.41,1.874,0.189
Group2,0.598,3.200,2.992,2.938,3.447,3.861,4.638,5.025,5.421,5.546,5.516,5.528,5.492,5.462,5.239,4.897,4.141,3.813,2.932,13.556,4.7121,
Header Row,0.98,5.12,5.83,6.18,6.61,7.09,8.34,7.40,7.95,8.27,7.52,6.18,6.65,6.57,5.55,4.80,4.13,4.49,4.01,17.40,6.5535,0.661
Data,0.59,3.20,2.92,2.83,3.34,3.80,4.55,5.07,5.51,5.63,5.67,5.76,5.68,5.70,5.51,5.22,4.40,3.97,3.01,14.04,16.5085,0.167
Object,0.29,0.87,0.48,0.53,1.06,0.72,1.26,1.45,1.11,1.01,0.97,1.45,1.45,0.77,1.06,0.53,0.58,0.77,0.53,2.12,38.755,0.391
Group3,0.283,1.849,2.096,2.849,3.445,4.117,4.511,5.243,5.642,5.879,5.839,6.162,5.450,5.733,5.304,4.778,4.056,3.106,2.197,5.400,4.19695,
Annotation,0.68,4.77,6.81,7.49,11.58,12.26,9.54,9.54,8.17,16.35,11.58,12.26,12.26,10.22,11.58,9.54,6.81,6.81,6.13,23.84,9.911,1
Axis,0.17,0.90,1.02,1.51,1.77,2.38,2.35,3.25,3.15,3.37,3.38,3.72,3.00,3.12,2.71,2.63,2.27,1.72,1.09,2.22,9.911,0.231
Label,0.47,3.41,3.68,4.65,5.80,6.48,7.80,7.98,8.83,9.74,8.71,9.24,8.42,9.15,8.42,7.59,6.59,4.97,3.89,11.01,6.8415,0.690
Legend,0.22,1.93,2.25,3.23,3.88,4.56,5.30,5.24,6.14,6.22,6.65,6.33,5.84,6.30,6.35,5.16,3.53,2.85,1.79,4.40,4.4085,0.445
Source,0.17,1.10,1.32,1.56,1.87,1.82,2.15,2.54,3.30,2.61,2.99,3.21,3.38,3.35,3.21,2.78,2.90,2.18,1.82,4.48,2.437,0.246
