Label/Time,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,Average,Fixation Density
Group1,0.972,7.670,10.751,9.639,8.066,7.110,5.866,4.366,3.798,3.015,2.480,2.109,1.944,1.532,1.483,1.211,1.005,0.799,0.503,1.203,3.776,
Graphical Element,0.29,1.60,1.60,1.56,1.39,1.47,1.19,0.90,0.86,0.74,0.90,0.78,0.66,1.43,1.92,1.27,1.11,1.19,0.70,2.50,1.202,0.103
Title,1.14,9.20,13.06,11.67,9.75,8.53,7.04,5.24,4.54,3.59,2.88,2.44,2.27,1.56,1.37,1.20,0.98,0.70,0.45,0.88,4.4245,0.380
Group2,0.559,2.679,2.741,2.675,3.083,3.508,4.005,4.105,4.239,4.494,4.358,4.145,4.105,4.052,3.931,3.479,2.854,2.648,2.023,8.468,3.6075,
Header Row,1.10,4.13,5.63,6.65,6.06,6.77,7.68,6.85,6.57,7.01,6.81,5.43,5.51,5.39,4.92,4.13,3.31,3.15,2.72,11.02,5.542,0.476
Paragraph,0.29,2.05,2.40,2.38,2.34,2.22,2.17,2.43,2.31,1.88,1.63,1.51,1.47,1.40,1.24,1.04,0.60,0.69,0.56,0.99,1.579,0.136
Data,0.61,2.87,2.75,2.57,3.18,3.80,4.43,4.57,4.82,5.28,5.18,4.99,4.93,4.93,4.82,4.33,3.62,3.30,2.49,10.86,4.2165,0.124
Object,0.29,0.77,0.39,0.48,1.01,0.53,0.87,0.92,0.92,0.82,0.82,1.30,1.35,0.77,1.06,0.58,0.58,0.82,0.48,1.79,0.8275,0.290
Group3,0.298,1.823,1.960,2.475,2.930,3.606,3.910,4.551,4.874,5.081,5.071,5.354,4.495,4.718,4.354,3.899,3.404,2.521,1.738,4.253,3.56575,
Annotation,0.68,9.54,8.85,8.17,11.58,12.26,12.26,13.62,12.26,15.67,14.30,16.35,12.94,10.22,14.30,11.58,8.85,4.77,10.90,23.84,11.647,1
Axis,0.19,0.94,1.01,1.33,1.49,2.02,2.05,2.80,2.60,2.92,3.02,3.27,2.51,2.56,2.20,2.09,1.97,1.42,0.76,1.64,1.9395,0.167
Label,0.38,2.85,3.06,3.94,4.71,5.68,6.83,6.56,7.30,7.98,7.18,8.06,6.74,7.15,6.89,6.12,5.39,4.00,3.09,8.65,5.628,0.483
Legend,0.24,2.04,2.25,3.12,3.61,4.18,4.48,4.64,5.78,5.24,5.65,5.11,4.73,5.32,5.13,4.24,3.07,2.42,1.71,4.26,3.860,0.332
Source,0.22,1.03,1.13,1.03,1.46,1.58,1.72,2.27,2.92,2.63,2.59,2.78,2.80,2.92,2.63,2.37,2.13,1.65,1.29,3.04,2.0095,0.173
