---- Session started: Fri Feb 18 2022 14:15:40 GMT+0100 (Central European Standard Time) ----

id x y width height top right bottom left
I2Q1_T0 723.578125 573.078125 60.625 29 573.078125 784.203125 602.078125 723.578125
I2Q1_T1 784.203125 573.078125 21.625 29 573.078125 805.828125 602.078125 784.203125
I2Q1_T2 805.828125 573.078125 40.40625 29 573.078125 846.234375 602.078125 805.828125
I2Q1_T3 846.234375 573.078125 73.4375 29 573.078125 919.671875 602.078125 846.234375
I2Q1_T4 919.671875 573.078125 26.703125 29 573.078125 946.375 602.078125 919.671875
I2Q1_T5 946.375 573.078125 44.5625 29 573.078125 990.9375 602.078125 946.375
I2Q1_T6 990.9375 573.078125 150.65625 29 573.078125 1141.59375 602.078125 990.9375
I2Q1A_T0 746.6875 614.921875 98.15625 25 614.921875 844.84375 639.921875 746.6875
I2Q1A_T1 844.84375 614.921875 102.84375 25 614.921875 947.6875 639.921875 844.84375
I2Q1A_T2 947.6875 614.921875 58.328125 25 614.921875 1006.015625 639.921875 947.6875
I2Q1A_T3 1006.015625 614.921875 21.109375 25 614.921875 1027.125 639.921875 1006.015625
I2Q1A_T4 1027.125 614.921875 34.578125 25 614.921875 1061.703125 639.921875 1027.125
I2Q1A_T5 1061.703125 614.921875 67.015625 25 614.921875 1128.71875 639.921875 1061.703125
I2Q1A_T6 1128.71875 614.921875 61.625 25 614.921875 1190.34375 639.921875 1128.71875
I2Q1B_T0 746.546875 644.90625 98.4375 25 644.90625 844.984375 669.90625 746.546875
I2Q1B_T1 844.984375 644.90625 102.84375 25 644.90625 947.828125 669.90625 844.984375
I2Q1B_T2 947.828125 644.90625 58.328125 25 644.90625 1006.15625 669.90625 947.828125
I2Q1B_T3 1006.15625 644.90625 21.109375 25 644.90625 1027.265625 669.90625 1006.15625
I2Q1B_T4 1027.265625 644.90625 34.578125 25 644.90625 1061.84375 669.90625 1027.265625
I2Q1B_T5 1061.84375 644.90625 67.015625 25 644.90625 1128.859375 669.90625 1061.84375
I2Q1B_T6 1128.859375 644.90625 61.625 25 644.90625 1190.484375 669.90625 1128.859375
I2Q1C_T0 791.890625 674.890625 98.796875 25 674.890625 890.6875 699.890625 791.890625
I2Q1C_T1 890.6875 674.890625 70.140625 25 674.890625 960.828125 699.890625 890.6875
I2Q1C_T2 960.828125 674.890625 21.109375 25 674.890625 981.9375 699.890625 960.828125
