---- Session started: Thu Feb 10 2022 13:49:56 GMT+0100 (Central European Standard Time) ----
id x y width height top right bottom left
I2Q1_T0 1650.59375 157.71875 60.625 29 157.71875 1711.21875 186.71875 1650.59375
I2Q1_T1 1711.21875 157.71875 21.625 29 157.71875 1732.84375 186.71875 1711.21875
I2Q1_T2 1732.84375 157.71875 40.40625 29 157.71875 1773.25 186.71875 1732.84375
I2Q1_T3 1773.25 157.71875 49.046875 29 157.71875 1822.296875 186.71875 1773.25
I2Q1_T4 1822.296875 157.71875 26.703125 29 157.71875 1849 186.71875 1822.296875
I2Q1_T5 1849 157.71875 40.40625 29 157.71875 1889.40625 186.71875 1849
I2Q1_T6 1696.984375 188.5625 146.03125 29 188.5625 1843.015625 217.5625 1696.984375
I2Q1A_T0 1697.984375 230.40625 52.171875 25 230.40625 1750.15625 255.40625 1697.984375
I2Q1A_T1 1750.15625 230.40625 86.109375 25 230.40625 1836.265625 255.40625 1750.15625
I2Q1A_T2 1836.265625 230.40625 22.8125 25 230.40625 1859.078125 255.40625 1836.265625
I2Q1A_T3 1637.78125 250.390625 114.96875 25 250.390625 1752.75 275.390625 1637.78125
I2Q1A_T4 1752.75 250.390625 45.03125 25 250.390625 1797.78125 275.390625 1752.75
I2Q1A_T5 1797.78125 250.390625 104.4375 25 250.390625 1902.21875 275.390625 1797.78125
I2Q1A_T6 1680.890625 270.375 97.390625 25 270.375 1778.28125 295.375 1680.890625
I2Q1A_T7 1778.28125 270.375 21.109375 25 270.375 1799.390625 295.375 1778.28125
I2Q1A_T8 1799.390625 270.375 59.703125 25 270.375 1859.09375 295.375 1799.390625
I2Q1B_T0 1697.984375 300.359375 52.171875 25 300.359375 1750.15625 325.359375 1697.984375
I2Q1B_T1 1750.15625 300.359375 86.109375 25 300.359375 1836.265625 325.359375 1750.15625
I2Q1B_T2 1836.265625 300.359375 22.8125 25 300.359375 1859.078125 325.359375 1836.265625
I2Q1B_T3 1637.78125 320.34375 114.96875 25 320.34375 1752.75 345.34375 1637.78125
I2Q1B_T4 1752.75 320.34375 45.03125 25 320.34375 1797.78125 345.34375 1752.75
I2Q1B_T5 1797.78125 320.34375 104.4375 25 320.34375 1902.21875 345.34375 1797.78125
I2Q1B_T6 1641.28125 340.328125 97.390625 25 340.328125 1738.671875 365.328125 1641.28125
I2Q1B_T7 1738.671875 340.328125 21.109375 25 340.328125 1759.78125 365.328125 1738.671875
I2Q1B_T8 1759.78125 340.328125 58.046875 25 340.328125 1817.828125 365.328125 1759.78125
