subject,timestamp_unix,timestamp_internal,timestamp_MainMessage,timestampMainMessage_content,verified,group,good_eye
cy1,1638365326296,5235432,5229243,21333342,True,1,LEFT
cxl1,1638441426357,10383217,10376592,10341026,False(Possibly),1,LEFT
qd1,1638372359846,12268982,12170755,5509087,True,1,LEFT
htc1,1638802067659,26307996,26303504,26197547,True,1,RIGHT
xyl1,1638547475589,14377416,14313620,32482532,NotPossible,1,RIGHT
yl1,1638285900107,12368048,12361324,30249494,True,1,LEFT
ycb1,1638431210238,132410,157148,122461,True,1,LEFT
yrl1,1638534374441,1276269,1267948,19437991,True,1,RIGHT
zy1,1638352672689,8672575,8667241,8680721,True,1,RIGHT
byq1,1639485041892,8955850,8941030,9088427,True,1,LEFT
el1,1639573224826,20217677,20213233,20527581,True,1,RIGHT
gzc1,1639575491301,22484151,22340733,296267,True,1,LEFT
hbw1,1639385067647,4831963,4825590,5239683,True,1,LEFT
jml1,1639156136506,20239075,20232209,36835833,True,1,RIGHT
lhz1,1639402767791,22532107,22485510,2974880,True,1,LEFT
ymc1,1639558683073,5675897,5671484,5987089,True,1,LEFT
zxa1,1639669320723,24835914,24823394,21175591,True,1,RIGHT
byz2,1638812415068,36655404,36649077,36542225,True,2,RIGHT
cy2,1638538607685,5509513,5504589,23674264,True,2,RIGHT
hcj2,1638867364170,6088064,6026135,3051247,False,2,LEFT
hbw2,1638955341299,6756711,6751260,6676179,True,2,LEFT
shd2,1638967450637,18866050,18861656,10021512,True,2,LEFT
xyl2,1638891360709,30084604,30081173,5703221,True,2,LEFT
xhl2,1638949162959,578371,534669,460125,True,2,LEFT
ymc2,1638778118607,2358943,2356724,2252837,True,2,LEFT
fwx2,1639055615321,16469231,16463400,16191847,True,2,LEFT
pr2,1639584185548,31178398,31112888,9067665,True,2,RIGHT
szw2,1639498533287,22447246,22406952,22553185,True,2,LEFT
xs2,1639413683895,33448212,33443549,13931971,True,2,RIGHT
wxw2,1639489125672,13039630,12995603,13142650,True,2,LEFT
yfs2,1639400031724,19796032,19791794,281397,True,2,RIGHT
yl2,1639065729450,26583360,26578187,26305759,True,2,LEFT
yrz2,1639646155776,1670967,1607606,218225,True,2,LEFT
zhc2,1639142105239,6207807,6203226,22808065,True,2,LEFT
byz3,1638871467637,10191531,10166334,7191089,True,3,RIGHT
cy3,1638452581510,21538370,21533831,21497301,True,3,RIGHT
qd3,1638374460512,14369647,14363000,7701143,True,3,RIGHT
htc3,1638803581132,27821469,27818570,27712482,True,3,RIGHT
jhz3,1638448396627,17353487,17263936,17227775,NotPossible,3,RIGHT
sm3,1638363549903,3459038,3452331,19556584,True,3,RIGHT
xz3,1638344677266,677152,583950,598128,True,3,LEFT
yl3,1638283994657,10462598,10419167,28307505,True,3,LEFT
zxa3,1638544016049,10917877,10914971,29084177,True,3,RIGHT
fwx3,1639058878676,19732586,19728147,19456312,True,3,LEFT
gzc3,1639580155945,27148795,27136775,5091895,True,3,LEFT
gzc3b,1639661752173,17267363,17238694,13591547,DuplicatedStudy,3,RIGHT
hbw3,1639387044113,6808429,6802533,7216455,True,3,RIGHT
jml3,1639675116043,30631231,30626981,26978676,True,3,LEFT
lhz3,1639747563638,4653963,4650555,4724010,True,3,LEFT
cxl3,1639554944068,1936918,1932903,2248830,True,3,LEFT
yfs3,1639405872696,25637013,25633247,6122344,True,3,LEFT
ymc3,1639562290726,9283547,9281633,9596927,True,3,LEFT
byz4,1638784929757,9170093,9067700,8963233,True,4,RIGHT
flk4,1638879460436,18184330,18150948,702342,True,4,RIGHT
htc4,1638886991746,25715640,25712264,1334690,True,4,LEFT
hcj4,1638869285603,8009497,7980386,5005330,True,4,LEFT
xym4,1638957930469,9345882,9246443,407129,True,4,LEFT
xyl4,1638806222094,30462431,30457866,30351549,True,4,RIGHT
yrl4,1638792985427,17225764,17221160,17115988,True,4,LEFT
el4,1639571438409,18431260,18331997,18646507,True,4,RIGHT
gzc4,1639657430736,12945928,12934106,9287331,True,4,LEFT
