subject,timestamp_unix,timestamp_internal,timestamp_MainMessage,timestampMainMessage_content,verified,group,good_eye
BoyaB1,1642777562113,12148069,12143294,12142787,True,1,RIGHT
BoyaB2,1642779131224,13735429,13732197,13731553,True,2,RIGHT
BoyaB3,1642780600385,15204589,15201575,15200805,True,3,LEFT
BoyaB4,1642782542528,17146732,17144133,17143197,True,4,RIGHT
BoyaB5,1642784184520,18788724,18786540,18785463,True,5,LEFT
BoyaB6,1643122902077,11584201,11579229,11562954,True,6,RIGHT
BoyaB7,1643124616906,13299029,13294989,13278571,True,7,LEFT
BoyaB8,1643126252143,14934266,14930933,14914377,True,8,LEFT
BoyaB9,1643127707116,16389239,16385733,16369055,True,9,RIGHT
BoyaB10,1643129739056,18421179,18417951,18401103,True,10,RIGHT
yimiB1,1642766890467,1494670,1486631,1487036,True,1,LEFT
yimiB2,1642768988905,3593109,3589424,3589650,True,2,LEFT
yimiB3,1642771177177,5781381,5778441,5778479,True,3,LEFT
yimiB4,1642773571008,8175213,8172811,8172644,True,4,LEFT
yimiB5,1642775192729,9796933,9795141,9794835,True,5,RIGHT
yimiB6,1643112508779,1190902,1187429,1172023,True,6,LEFT
yimiB7,1643114943093,3625216,3621480,3605871,True,7,LEFT
yimiB8,1643117342776,6024900,6022082,6006272,True,8,LEFT
yimiB9,1643119153972,7836096,7832651,7816689,True,9,LEFT
yimiB10,1643121047609,9729732,9726919,9710799,True,10,LEFT
yiruB1,1643133661025,22343147,22302840,22285666,True,1,RIGHT
yiruB2,1643135367701,24049824,24046242,24028922,True,2,RIGHT
yiruB3,1643137387905,26070028,26066174,26048685,True,3,RIGHT
yiruB4,1643139389684,28071808,28068411,28050754,True,4,LEFT
yiruB5,1643141254216,29936340,29932786,29914973,True,5,RIGHT
yiruB6,1643185956042,1254664,1250188,1209462,True,6,RIGHT
yiruB7,1643187739900,3038524,3033922,2993047,True,7,LEFT
yiruB8,1643189588385,4887008,4882483,4841454,True,8,RIGHT
yiruB9,1643277480207,845966,840872,810744,True,9,LEFT
yiruB10,1643279131592,2497346,2493186,2462921,True,10,LEFT
